French,English
sento,I feel
macchina,machine
vostro,your
mani,hands
neanche,not even
dall',from
dottore,doctor
quale,Which
abbastanza,Enough
tardi,late
bel,nice
cuore,Heart
famiglia,family
far,to do
stati,states
aiuto,help
diavolo,devil
nostri,our
col,with the
quasi,Almost
polizia,police
capo,boss
avrebbe,would have
quei,those
mie,my
tornare,return
però,but
contro,against
viene,he comes
mentre,While
scusa,Excuse me
sola,alone
spero,I hope
quelle,those
trovare,find
giro,tour
anch',also
guerra,war
sue,his
bambino,child
strada,street
vecchio,old
fratello,Brother
acqua,waterfall
stasera,this evening
pensavo,I thought
chiama,call
persona,person
vedi,you see
fu,it was
anno,year
vostra,yours
veramente,Truly
finito,finished
marito,Husband
minuti,minutes
giù,below
donne,women
bravo,Bravo
bambini,children
ricordi,memories
quelli,those
state,state
ore,hours
stavo,I was
dovuto,due
nemmeno,neither
venuto,came
indietro,backwards
stessa,same
importa,it matters
nessun,no
punto,point
invece,Instead
perso,lost
possibile,possible
ucciso,killed
forte,strong
pensato,thought
dovrebbe,should
pensa,thinks
poco,little
parla,speaks
farò,lighthouse
cercando,looking for
l,the
verità,truth
andato,left
quell',that one
re,king
fanno,they do
potrei,I could
importante,important
quest',this
amo,I love
chiesto,asked
cosi,Like this
nelle,in the
felice,happy
piedi,feet
merda,shit
piccolo,small
prendi,you take
dietro,behind
sapevo,I knew
buongiorno,Good morning
passato,past
dollari,dollars
com',how
pure,pure
pensare,think
cinque,five
vicino,Neighbor
uscire,go out
conosco,I know
verso,towards
altre,other
quattro,four
morire,die
sangue,blood
John,John
eri,you were
almeno,at least
dica,say
lascia,leaves
vivere,live
colpa,guilt
portato,carried
entrare,enter
ricordo,I remember
pace,peace
roba,stuff
Jack,Jack
migliore,improve
fate,fairies
difficile,difficult
settimana,week
ultima,last
dovrei,I should
fatta,done
conto,I count
stanza,room
fra,between
comunque,Anyway
sentire,feel
numero,number
parlato,spoke
mente,mind
messo,put in order
strano,strange
fortuna,fortune
perdere,LOSE
tue,yours
né,nor
figlia,Daughter
molti,many
volete,you want
dottor,doctor
parola,word
signori,gentlemen
andata,gone
vista,view
vede,he sees
nessuna,none
finché,until
dare,give
dammi,give me
Mr.,Mr.
mesi,months
fuoco,fire
voleva,he wanted
mangiare,eat
lasciato,left
figli,children
serio,serious
paese,village
farà,will do
capire,understand
mezzo,half
prova,trial
cara,dear
perche',Why'
cane,dog
dimmi,Tell me
fossi,ditches
senso,sense
James,James
riesco,I am able to
ieri,Yesterday
possa,may
potuto,could
scuola,school
S.,S.
possono,they can
lavorare,work
significa,it means
resto,rest
vada,go
piccola,small
pare,it seems
bere,drink
ben,well
cena,dinner
giovane,young
problemi,problems
quanti,how many
gran,big
attimo,moment
ascolta,Listen
agli,to the
dovresti,you should
corpo,body
musica,music
gioco,game
qual,which
aria,air
sarò,I will be
farmi,make me
magari,Perhaps
davanti,in front of
new,new
chiamo,I'm calling
genere,type 
libro,book
domanda,request
chiamato,called
passare,pass
dalle,from
campo,field
lungo,long
torna,come back
paio,couple
stava,was
finita,finished
saranno,they will be
vogliono,they want
hey,hey
cielo,sky
parole,words
auto,car
sorella,sister
nuova,new
stia,stay
signorina,Miss
festa,party
spiace,sorry
sopra,above
bisogna,must
vuol,he wants
telefono,telephone
affari,business
facile,easy
parlando,speaking
caro,Dear
sui,on
pronti,ready
restare,remain
attenzione,Attention
crede,he believes
nostre,our
controllo,check
molte,many
unica,unique
dovremmo,we should
farti,make yourself
soltanto,only
piu',more'
buono,Good
puttana,whore
vivo,live
sappiamo,we know
luce,light
generale,general
qualsiasi,any
vogliamo,we want
ultimo,last
dicono,they say
benissimo,Very well
Harry,Harry
foto,photo
unico,unique
onore,honor
ragazze,girls
scritto,written
andate,go
tieni,keep
siano,are
ufficio,office
entra,enter
chiedo,I ask
coraggio,courage
andando,going
venga,come
dieci,ten
credevo,I believed
voglia,wants
potremmo,we could
esatto,Exactly
credere,believe
tratta,deals with
eravamo,we were
arrivato,arrived
bambina,girl
pistola,pistol
voce,voice
dormire,sleep
lasci,leave
avessi,I had
chiaro,clear
aspetto,I wait
squadra,squad
attento,careful
cerca,near
ordine,order
Joey,Joey
arrivederci,Until we meet again
arriva,he arrives
armi,weapons
sulle,on the
ormai,at this point
maggiore,greater
fretta,rush
sarai,you will be
sacco,sack
fatti,facts
York,York
parli,you speak
colpo,hit
sarei,I would be
m',me
caffè,coffee
capisci,you understand
dicendo,saying
vostri,yours
camera,room
alcuni,some
cercare,look for
arrivo,I arrive
aspettare,wait
situazione,situation
faremo,we will do
deciso,decided
esattamente,Exactly
dev',must
addio,Goodbye
scena,scene
inglese,English
perfetto,Perfect
potete,you can
fammi,do for me
alto,high
dello,of the
prendo,I take
conosci,you know
be',well
sapete,you know
pazzo,crazy
chiami,you call
tornato,returned
sicura,safe
lasciare,leave
capelli,hair
potere,candies
avevi,you had
morti,dead
avrà,will have
fantastico,Fantastic
matrimonio,marriage
passo,step
portare,bring
aspetti,aspects
torno,I'm coming back
arrivare,arrive
guai,trouble
trova,finds
motivo,reason
resta,remains
inizio,start
smettila,stop it
diventare,become
potresti,you could
n',n'
voluto,wanted
vanno,they go
disse,he said
morta,dead
de,of
bagno,bath
zio,Uncle
futuro,future
sbagliato,wrong
guardi,look
cosi',Like this'
sicurezza,safety
pezzo,piece
devono,they must
venuta,coming
allo,at the
tenente,lieutenant
silenzio,silence
porto,port
uccidere,kill
odio,hatred
sull',on the
giocare,play
lontano,distant
durante,during
segreto,secret
sole,sun
mettere,put
venite,come
dirmi,tell me
sistema,system
viaggio,voyage
causa,cause
r,r
comandante,commander
settimane,weeks
semplice,simple
minuto,minute
divertente,fun
avresti,you would have
grandi,large
presidente,president
bocca,mouth
permesso,permit
vecchia,old
culo,ass
sogno,dream
glielo,give it to him
c,c
guardare,watch
probabilmente,probably
vengo,I'm coming
lasciami,leave me
ie,ie
negli,in the
do,do
fermo,stopped
zitto,shut up
vera,TRUE
tante,many
ln,ln
colonnello,Colonel
stupido,stupid
Cristo,Christ
conosce,he knows
fame,hunger
cura,treatment
prigione,prison
finire,finish
farai,you will do
d,d
buonanotte,Good night
Tom,Tom
prossima,next
brava,Good
specie,species
prende,takes
piacerebbe,I would like to
circa,about
funziona,works
dovete,you have to
brutto,bad
vattene,go away
sente,he feels
cavallo,horse
peccato,Sin
mattina,morning
consiglio,advise
cambiare,change
saperlo,to know it
usare,use
naturalmente,naturally
continua,continues
scelta,choice
possibilità,possibility
spesso,Often
dà,from
dirti,tell you
piuttosto,rather
trovo,I find
fondo,bottom
ricorda,remember
guardate,look
ospedale,hospital
qualunque,anyone
Maria,Mary
andrà,will go
legge,law
agente,agent
oltre,beyond
avesse,had
servizio,service
tanti,many
messaggio,message
giornata,day
faceva,he was doing
energia,energy
incredibile,incredible
sala,room
mandato,mandate
chiamare,call
doveva,where you go
libero,free
aereo,airplane
ricevuto,received
porti,ports
preoccuparti,worry
uh,uh
finalmente,finally
quali,which
stronzo,asshole
mostro,monster
sette,seven
pronta,ready
metti,you put
Henry,Henry
programma,plan
poteva,could
parti,parts
saputo,known
partita,match
gentile,Kind
poter,to be able to
freddo,Freddo
s',yes
piacciono,they like
Clark,Clark
vederti,to see you
domande,requests
peggio,worse
sanno,they know
genitori,parents
amica,friend
solito,usual
anima,soul
terribile,terrible
buonasera,Good evening
oro,gold
occhio,eye
si',Yes'
radio,radio
quante,how many
pieno,full
rapporto,relationship
avrai,you will have
alcune,someone
provare,try
carino,cute
scoperto,discovery
America,America
denaro,money
compagnia,company
interessante,interesting
avvocato,lawyer
t',t'
vestito,dress
ottimo,Optimal
avevano,they had
esercito,army
vestiti,clothes
treno,train
succedendo,happening
mese,month
impossibile,impossible
chiunque,whoever
vale,it's worth
nello,in the
milioni,millions
cibo,food
tempi,times
jim,Jim
piu,more
laggiù,over there
intorno,environment
servono,they serve
chiave,key
coi,with
diritto,right
dimenticato,forgotten
ve,you
natale,Christmas
calma,calm
altrimenti,otherwise
t,t
Miss,Miss
provato,tried
dirlo,say it
cinema,cinema
chiedere,ask
ritardo,delay
realtà,reality
mare,sea
maestro,master
TV,TV
pagare,pay
pianeta,planet
fronte,forehead
addosso,on me
entrambi,both
dia,day
cambiato,changed
interessa,it's of interest
assolutamente,absolutely
risposta,answer
rispetto,respect
pena,penalty
Gesù,Jesus
Michael,Michael
incontro,encounter
cercato,searched
occhiata,look
pensando,thinking
cioè,Meaning what
the,the
notizie,news
sorpresa,surprise
bastardo,bastard
salute,Health
lettera,letter
incidente,accident
grosso,big
soli,alone
mica,not at all
sembrava,it seemed
grado,degree
aiutare,help
sinistra,left
dovevo,I had to
contento,happy
canzone,song
sapeva,he knew
santo,holy
verrà,will come
saremo,we will be
speciale,special
diceva,he said
posizione,position
gruppo,group
